,name,units,average_price,price_range,date
0,Lanthanum_Oxide,USD/mt,599.04,571.18-626.91,"Oct 30, 2023"
1,High_Purity_lanthanum_Oxide,USD/mt,"2,646.94","2,507.63-2,786.25","Oct 30, 2023"
2,Cerium_Oxide,USD/mt,696.56,682.63-710.49,"Oct 30, 2023"
3,High_Purity_Cerium_Oxide,USD/mt,"2,925.57","2,786.25-3,064.88","Oct 30, 2023"
4,Praseodymium_Oxide,USD/mt,"72,790.85","72,442.57-73,139.13","Oct 30, 2023"
5,Neodymium_Oxide,USD/mt,"72,999.82","72,721.19-73,278.44","Oct 30, 2023"
6,Samarium_Oxide,USD/mt,"2,089.69","1,950.38-2,229","Oct 30, 2023"
7,Europium_Oxide,USD/kg,27.17,26.47-27.86,"Oct 30, 2023"
8,Gadolinium_Oxide,USD/mt,"38,171.66","37,893.04-38,450.29","Oct 30, 2023"
9,High_purity_gadolinium_oxide,USD/mt,"41,097.23","40,400.66-41,793.79","Oct 30, 2023"
10,Terbium_Oxide,USD/kg,"1,135.4","1,131.22-1,139.58","Oct 30, 2023"
11,Dysprosium_Oxide,USD/kg,369.88,367.79-371.96,"Oct 30, 2023"
12,Erbium_Oxide,USD/mt,"39,355.82","39,007.54-39,704.1","Oct 30, 2023"
13,Yttrium_Oxide,USD/mt,"6,269.07","6,129.76-6,408.38","Oct 30, 2023"
14,Praseodymium-neodymium_oxide,USD/mt,"71,258.41","71,049.44-71,467.38","Oct 30, 2023"
15,Holmium_Oxide,USD/mt,"81,497.89","80,801.33-82,194.45","Oct 30, 2023"
16,Ytterbium_oxide,USD/mt,"13,931.26","13,234.7-14,627.83","Oct 30, 2023"
17,Lutetium_oxide,USD/kg,773.19,752.29-794.08,"Oct 30, 2023"
18,Scandium_oxide,USD/kg,891.6,877.67-905.53,"Oct 30, 2023"
